address,riskCategories,riskScores
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x48b5434679d726e3beb9a5a3724651fca15fcbf8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x26f5568643f06f38773d56af0358a5f43fd8fe8e","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xd50e707af65d3bbd3650f6a3632904af9a485de4","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x8847ebaaf29a18396e49191602f8d8d141b98aa7","Sanctions","Severe"
"0x8847ebaaf29a18396e49191602f8d8d141b98aa7","Sanctions","Severe"
"0x8847ebaaf29a18396e49191602f8d8d141b98aa7","Sanctions","Severe"
"0x8847ebaaf29a18396e49191602f8d8d141b98aa7","Sanctions","Severe"
"0x8847ebaaf29a18396e49191602f8d8d141b98aa7","Sanctions","Severe"
"0x8847ebaaf29a18396e49191602f8d8d141b98aa7","Sanctions","Severe"
"0x618d6892c12d02cd91947862355f379cc0de2767","Sanctions, Mixer","Severe, Low"
"0x618d6892c12d02cd91947862355f379cc0de2767","Sanctions, Mixer","Severe, Low"
"0x618d6892c12d02cd91947862355f379cc0de2767","Sanctions, Mixer","Severe, Low"
"0xc7ad199ecd0e20b3c10c724104a2033e140529f9","Sanctions","Severe"
"0xc7ad199ecd0e20b3c10c724104a2033e140529f9","Sanctions","Severe"
"0xc7ad199ecd0e20b3c10c724104a2033e140529f9","Sanctions","Severe"
"0x9e8024acc28dc8c749e780872ffb672d2c178c4c","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xfd6231a29661100e9f7e68d37730b040e24cad28","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x4dd06d3f05d573db027459e8dc942e37249d71a8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x4dd06d3f05d573db027459e8dc942e37249d71a8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x4dd06d3f05d573db027459e8dc942e37249d71a8","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xeed7e1c7c9c68611584e8f6230178ce0a48eef7f","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xeed7e1c7c9c68611584e8f6230178ce0a48eef7f","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xeed7e1c7c9c68611584e8f6230178ce0a48eef7f","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0xeed7e1c7c9c68611584e8f6230178ce0a48eef7f","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x10c195f57da35f2ba763e72103cb668cdca17f50","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x297946c26171008ba8c0e5642814b5fe6b842ab7","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x297946c26171008ba8c0e5642814b5fe6b842ab7","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x297946c26171008ba8c0e5642814b5fe6b842ab7","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x9c89467b3ad8d7a019f56ce5ab91cee54592bd46","Sanctions, Mixer","Severe, Low"
"0x9c89467b3ad8d7a019f56ce5ab91cee54592bd46","Sanctions, Mixer","Severe, Low"
"0x9c89467b3ad8d7a019f56ce5ab91cee54592bd46","Sanctions, Mixer","Severe, Low"
"0x9c89467b3ad8d7a019f56ce5ab91cee54592bd46","Sanctions, Mixer","Severe, Low"
"0xb2e5751f5cc32a194fff28d247288d1aa90a8fb5","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x37baa0937e750a22227627404d1a0ad5d4e29299","Sanctions, Mixer, Mixer","Severe, Low, Low"
"0x37baa0937e750a22227627404d1a0ad5d4e29299","Sanctions, Mixer, Mixer","Severe, Low, Low"
