user,userId,userUrl,publicId,submissionUrl,commentId
"numan","388591","https://github.com/numan","0x1dc554f89e0bab6845e4f3b44b1132b4505a4169f9b4e96c9bd640ac1cd7301e","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094307205","1094307205"
"Grandthrax","1507729","https://github.com/Grandthrax","0x24fb5c52b2563891c87755daba63cb03756c8235f0d33b155c52c882ec1e5bae","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094194371","1094194371"
"dmihal","1661138","https://github.com/dmihal","0x302cb9a1650ad573490bbde4ee550aaff78c40f4757fa52f56278d4fd9198fe2","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094306042","1094306042"
"0xbok","1689531","https://github.com/0xbok","0x1cc28bbfb68bc3a422596ccb1e70af41fe696013684c291863878960a1f4c266","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094175984","1094175984"
"olivdb","1734245","https://github.com/olivdb","0x006d912277af42068903a64c40d50abf6ec71c251bb658a8879c244b02562bde","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094290596","1094290596"
"jpritikin","2002771","https://github.com/jpritikin","0x2432cbb607cb2e82b8140e9d6e92e0e4267e8b01c0f6867fe773ce60e8a77352","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094321734","1094321734"
"chrishobcroft","2212651","https://github.com/chrishobcroft","0x0ce8cce43a5e84c99ff3c3c5d2562fd21e0f5722da9916a57ffa4517041c512a","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094333665","1094333665"
"chriswessels","2657600","https://github.com/chriswessels","0x2083a312df057283cf3382b8d9a5383bc2dabf4f0cc90997d9cf6ddc1578d179","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094306798","1094306798"
"tyler17","3388550","https://github.com/tyler17","0x152cea97dc26b492026c1b2b381299c04c924c9cf1a639b0d18a4eed8ca50381","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094328067","1094328067"
"giacomolicari","4820738","https://github.com/giacomolicari","0x018f639f1a00e1bc93fd10fd59bf9b8f066a693f3d1afd53de966e29437d92b6","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094342276","1094342276"
"benjaminbollen","5057507","https://github.com/benjaminbollen","0x1d822c2e4a92b4a5267e44b1246a28e3d882c47c14a3793414085a1b6966d1b3","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094345342","1094345342"
"dylankilkenny","9889539","https://github.com/dylankilkenny","0x185ccaff03e3c1b32b584fa91d9d8e68c005fbf05022e53b8df887040df32ae0","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094281999","1094281999"
"b-pmcg","13105602","https://github.com/b-pmcg","0x04bb8e157f81081dbf2f5a91791a6058e8d7e775bcf11fe206c8c3b1e4d33499","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094291477","1094291477"
"lehnberg","15728891","https://github.com/lehnberg","0x2548b16bc1dce5a9f644aa8f97559827cf69e4bd45c6200ecccb6a702640d579","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094226333","1094226333"
"5chdn","15729797","https://github.com/5chdn","0x2510d030d7bcc2af4c34aabe6a1d6c195ea649c9a1b44e1c4b2addfb768c71ff","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094237310","1094237310"
"pcatana","19393057","https://github.com/pcatana","0x1cd5de25e6959d9cf8220a967ba4251e3fce852927cdf68853332fafaedf1684","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094305362","1094305362"
"laitanop","21044809","https://github.com/laitanop","0x0eb866874580f645598f74657c07c2b764f66debdf64c01e90fe86a4a3d8acc3","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094292565","1094292565"
"MakMuftic","23664028","https://github.com/MakMuftic","0x10442c810503b5cf1c8fbfb5c9a8296dede5b863ff61b410f03f5a9167d66aaf","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094209576","1094209576"
"WilfredTA","26207779","https://github.com/WilfredTA","0x2b838719d07dbf6edfd96a1f8be7506dd7d0c3c811cca7252d9ac63adfefe1e9","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094290404","1094290404"
"curiosityyy","28347358","https://github.com/curiosityyy","0x0b73307bb16dbe1c24432e3c870edab348d08f8561521ffbf60d5920dc81e700","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094336830","1094336830"
"wolflo","33909953","https://github.com/wolflo","0x1dcf9bea44e14383a960f572c4bedd8b90eca56111e53276b7235d504c3e6972","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094278220","1094278220"
"kasiaturbiarz","39365369","https://github.com/kasiaturbiarz","0x0aede85b54539a85014d07fd8f8b267dfa9c35c4051c9c2a4af40494ac1d8f02","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094237277","1094237277"
"soc1c","47772477","https://github.com/soc1c","0x2833b2431a67c981e42784263debeabf330e4ad33db8001201df5ce080cdef27","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094238007","1094238007"
"forrestnorwood","60487118","https://github.com/forrestnorwood","0x10da8a86e3ff97ceaa96410541ca515b7c320fd1b713fe9b5fd8300c070acca9","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094290460","1094290460"
"tracheopteryx","69904756","https://github.com/tracheopteryx","0x221bbcbafe763e3b70e81335a458b5d84b2359d9673052163f1fd30df69b6c22","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094252335","1094252335"
"Zemm111","71293476","https://github.com/Zemm111","0x1f5ec40eeb90063369499db163a17ff45aedd36dd4e16996aad0e949799c5e18","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094285613","1094285613"
"Ceazor","73511897","https://github.com/Ceazor","0x2eddfb816a35efd36e90b3413ed2227dc882c08ff63f6fb67654fc936ae32a6f","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094259165","1094259165"
"philburrrt","75766943","https://github.com/philburrrt","0x17d4ea93d8fcc5543923885a194fffd4654b7b08384921e16d0bf6a8937492e0","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094285815","1094285815"
"pentcle","80323528","https://github.com/pentcle","0x1451ad03164e68979a2acb1100a160856c0b5105484a145c80f255d2d4b2451e","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094198788","1094198788"
"pandadefi","87183122","https://github.com/pandadefi","0x00f384f7c5e1e4216b0fe5af910a4edfe07d3b9402bb4b133852e1a921ee1b42","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094196976","1094196976"
"flashfish0x","88827838","https://github.com/flashfish0x","0x043543813b3d2b5d2cb9f5cd306a4972186d49355b4af38c37327b9b46a9a5d7","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094194196","1094194196"
"fameal","90629003","https://github.com/fameal","0x1fb466fb5f1e2243999968b208716d6533a8fbdc3c8fa813b5a2922329ad55b9","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094225085","1094225085"
"0x7171","91192250","https://github.com/0x7171","0x00ba8cd69c6f7e40453967ba1c653c67587adfcb64118c04a634e866187528fa","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094225768","1094225768"
"duckdegen","98649644","https://github.com/duckdegen","0x180594c2dc801e1683c94981c0618927cf257868ae4f29890f6123f3bb95b4e9","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094334233","1094334233"
"0xkofee","98677476","https://github.com/0xkofee","0x1af4be3b2a5341aaee7313386be5ec25aa8c24288155792c651417d0c3fe187b","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094178702","1094178702"
