isEligible,user,userId,userUrl,invalidSubmission,submissionUrl,submittedAt
"true","fzeoli","232174","https://github.com/fzeoli","# Instructions
1) Double check your eligibility. If you are not in [this list](https://gist.github.com/ryangoree/03694774a6a6e9f93a668c8f75c1a798) of github IDs, you will not be included in the claim process
2) Click the Fork button on the top right of this page

![Group_1](https://user-images.githubusercontent.com/5555162/162639887-05baf442-b407-49f8-8be3-5c0719963e87.png)

3) Edit the newly forked gist
4) Delete all text
5) Paste in the the Public ID you generated at https://gov.element.fi/zk/github

The image below represents what your gist should look like after pasting in your Public ID

![unknown](https://user-images.githubusercontent.com/5555162/162635268-ab51ba37-c968-4caa-afd3-6a348214da5a.png)



Public IDs will be collected until April 11, 2022, after which we'll provide a new link to check if your GitHub ID was eligible using your key and secret. Keep them private and don't lose them! The new link will be shared here, on Twitter, and in our Discord server. If you miss out on the first collection process, don't worry, we'll do additional collection periods.

A reminder, the ZK claim process lets you maintain your privacy. Your Ethereum address cannot be doxxed.
","https://gist.github.com/0cc2735bb86c0b1a4738eba46a22c3e6","2022-04-14T20:56:56Z"
"true","RatanRSur","4733314","https://github.com/RatanRSur","# Instructions
1) Double check your eligibility. If you are not in [this list](https://gist.github.com/ryangoree/03694774a6a6e9f93a668c8f75c1a798) of github IDs, you will not be included in the claim process
2) Click the Fork button on the top right of this page

![Group_1](https://user-images.githubusercontent.com/5555162/162639887-05baf442-b407-49f8-8be3-5c0719963e87.png)

3) Edit the newly forked gist
4) Delete all text
5) Paste in the the Public ID you generated at https://gov.element.fi/zk/github

The image below represents what your gist should look like after pasting in your Public ID

![unknown](https://user-images.githubusercontent.com/5555162/162635268-ab51ba37-c968-4caa-afd3-6a348214da5a.png)



Public IDs will be collected until April 11, 2022, after which we'll provide a new link to check if your GitHub ID was eligible using your key and secret. Keep them private and don't lose them! The new link will be shared here, on Twitter, and in our Discord server. If you miss out on the first collection process, don't worry, we'll do additional collection periods.

A reminder, the ZK claim process lets you maintain your privacy. Your Ethereum address cannot be doxxed.
","https://gist.github.com/4ad609a2349999e83aa86c473e4fdb32","2022-04-12T19:51:57Z"
"true","canepat","16927169","https://github.com/canepat","# Instructions
1) Double check your eligibility. If you are not in [this list](https://gist.github.com/ryangoree/03694774a6a6e9f93a668c8f75c1a798) of github IDs, you will not be included in the claim process
2) Click the Fork button on the top right of this page

![Group_1](https://user-images.githubusercontent.com/5555162/162639887-05baf442-b407-49f8-8be3-5c0719963e87.png)

3) Edit the newly forked gist
4) Delete all text
5) Paste in the the Public ID you generated at https://gov.element.fi/zk/github

The image below represents what your gist should look like after pasting in your Public ID

![unknown](https://user-images.githubusercontent.com/5555162/162635268-ab51ba37-c968-4caa-afd3-6a348214da5a.png)



Public IDs will be collected until April 11, 2022, after which we'll provide a new link to check if your GitHub ID was eligible using your key and secret. Keep them private and don't lose them! The new link will be shared here, on Twitter, and in our Discord server. If you miss out on the first collection process, don't worry, we'll do additional collection periods.

A reminder, the ZK claim process lets you maintain your privacy. Your Ethereum address cannot be doxxed.
","https://gist.github.com/a19c66001d13aff62e41e5265889c66d","2022-04-13T10:46:36Z"
"false","tianzhirui","22299982","https://github.com/tianzhirui","0xdf156DAE212d744C54d1Cd9Ae8E3c1C34A1Ba34B","https://github.com/delv-tech/elf-council-frontend/issues/384#issuecomment-1085357762","2022-04-01T02:51:49Z"
"false","winnet234","22980055","https://github.com/winnet234","22980055","https://github.com/delv-tech/elf-council-frontend/issues/724#issuecomment-1095290168","2022-04-11T16:43:53Z"
"false","Peters6444","25210004","https://github.com/Peters6444","Peters6444","https://github.com/delv-tech/elf-council-frontend/issues/724#issuecomment-1094313384","2022-04-10T16:47:45Z"
"true","pscott","30843220","https://github.com/pscott","# Instructions
1) Double check your eligibility. If you are not in [this list](https://gist.github.com/ryangoree/03694774a6a6e9f93a668c8f75c1a798) of github IDs, you will not be included in the claim process
2) Click the Fork button on the top right of this page

![Group_1](https://user-images.githubusercontent.com/5555162/162639887-05baf442-b407-49f8-8be3-5c0719963e87.png)

3) Edit the newly forked gist
4) Delete all text
5) Paste in the the Public ID you generated at https://gov.element.fi/zk/github

The image below represents what your gist should look like after pasting in your Public ID

![unknown](https://user-images.githubusercontent.com/5555162/162635268-ab51ba37-c968-4caa-afd3-6a348214da5a.png)



Public IDs will be collected until April 11, 2022, after which we'll provide a new link to check if your GitHub ID was eligible using your key and secret. Keep them private and don't lose them! The new link will be shared here, on Twitter, and in our Discord server. If you miss out on the first collection process, don't worry, we'll do additional collection periods.

A reminder, the ZK claim process lets you maintain your privacy. Your Ethereum address cannot be doxxed.
","https://gist.github.com/540dbb993ffcea97cc318d3d14b18563","2022-04-13T19:40:16Z"
"false","kamigz","31506893","https://github.com/kamigz","0xfc150a49f29ebd7e155930f6b11171ad74398c9f","https://github.com/delv-tech/elf-council-frontend/issues/384#issuecomment-1086689032","2022-04-02T17:48:26Z"
"false","ndrink","35225768","https://github.com/ndrink","ndrink","https://github.com/delv-tech/elf-council-frontend/issues/724#issuecomment-1094183162","2022-04-10T05:28:56Z"
"false","Abolaji11","35625780","https://github.com/Abolaji11","Here is my address, am definitely a human and not a bot

0xF3C07d76bf0d3f74C21B299e3BeE517391ceCcB6","https://github.com/delv-tech/elf-council-frontend/issues/724#issuecomment-1094245482","2022-04-10T10:57:55Z"
