user,userId,userUrl,publicId,submissionUrl,deleted
"chuyeow","213","https://github.com/chuyeow","0x1dee0c9d1635a6e0b449bb1d511d63fdc5d25416c61f5599a87ba08329bcaeb9","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094082510","true"
"makoto","2630","https://github.com/makoto","0x068aef6314f16cd50783e829eb0257b12eba3208ec6f7deef272a47664324aa0","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088714024","undefined"
"jflatow","3380","https://github.com/jflatow","0x188188dae894250e4298067ca53367c9d394c1eb9cb04c6c008e2c2d99220eb3","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086407719","undefined"
"kaichen","4048","https://github.com/kaichen","0x0b1260547bfb13348349b8ffe6254d54a7d2eaa969036fc02193c6f014006a28","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1090206017","true"
"shazow","6292","https://github.com/shazow","0x0b1926993980a46b8cf4cbd90b264cb98d4572e057facfb4c2c2e7bff2872742","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086371882","undefined"
"atoulme","16758","https://github.com/atoulme","0x01caaf86127f74668c686226a25a59e3d07fc7d148da1e77f14195afd39d0a80","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086552272","undefined"
"Arachnid","17865","https://github.com/Arachnid","0x077232cfb899e1d1eae24278e6ea66a2759da6d628fab1f19be5b5e2053e2c6d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085247562","undefined"
"axic","20340","https://github.com/axic","0x2f11170ef21eae829f42aea4c1c766c730aafd31c9963034896684ebcc55b7e6","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085929785","undefined"
"ryanio","22116","https://github.com/ryanio","0x153a8c10caf86753c7a10ab4be080206bc7c54239646f2d65c18eddc5b966811","https://gist.github.com/2f26d0a6167a756a99b473ca67e40766","undefined"
"kanej","24030","https://github.com/kanej","0x05b76c1c802801489011e203d5f9dfd666b31af98b67b2013fbd668affab4827","https://gist.github.com/412433aad9d8447ea65a996d86e77621","undefined"
"Macarse","24915","https://github.com/Macarse","0x2dc3006649e50d0214fd708523cfb63f6077e21e8798c966f05aa8d885bc38bc","https://gist.github.com/f6225234e250bdd93bae52ba726d2b2e","undefined"
"isidorosp","27592","https://github.com/isidorosp","0x08513fa0849e28b752c09211864866f4de2b4e613b4d517c4c210364ecc51957","https://gist.github.com/6b130bebb849ecf5f4683915b0c801a9","undefined"
"flowerornament","31774","https://github.com/flowerornament","0x051cf546d0664321da166069f42c642f25a69605aaa2e4b15c5138783609bc8c","https://gist.github.com/8f81192a5e5afc25744435d14d969aa0","undefined"
"shemnon","38109","https://github.com/shemnon","0x194d1d7197b1924d8923c7db88f446367ba35361f260537b00f5eba0111ae317","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087644925","undefined"
"alfetopito","43217","https://github.com/alfetopito","0x0ad01b1a68ccc08745c33fce23d333ac89346fef047b397f247ef2977684eb6e","https://gist.github.com/3088a96541fb1696e6851bc10d428999","undefined"
"ulope","55078","https://github.com/ulope","0x0b7798dc1f1a7902196f447e98eea89d89491ca65913c70abbb415784f30c19a","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088502239","undefined"
"mslipper","67953","https://github.com/mslipper","0x25c8dc89d8e976b248d971c04c550f360adf342bac6835e428f54c94f7e0870d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086745349","undefined"
"ajsutton","72675","https://github.com/ajsutton","0x065d9f14ddf408545b9cc8996f6d749720b3f2bfb334f7f8f29b6232b28717b4","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085140340","undefined"
"higer","85687","https://github.com/higer","0x160160c1cb9883bb4bd27d2f808247c150e2e093d34a832647793b1ad88b1813","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085271458","true"
"palango","90851","https://github.com/palango","0x1e6668eca83fa677f754680043ac876b968fccfa212183bad53cc2fd5da6d0e0","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088729192","undefined"
"zmanian","93434","https://github.com/zmanian","0x0f59a02c26fa33d1224fc41e635d008e0470c402f9678ac75312a9b0f31ac9d7","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1092500702","undefined"
"mrsinguyen","96544","https://github.com/mrsinguyen","0x0753ed187f2078a8a2cc8c37971992ecbf044678d1c2b2b915780c676ab3ae9d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085746732","true"
"vjnrv","99794","https://github.com/vjnrv","0x2770be64269f6855635a3bbae327aa1904785620c510cf40f8c8776f5f26da43","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094106000","true"
"ligi","111600","https://github.com/ligi","0x0d5d14395b566d971930debf830b1abd61cba23fdbdf380478a6ecd1567fd3a9","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085714972","undefined"
"karalabe","129561","https://github.com/karalabe","0x2d37d843c7c2f125aea512a3b0f6e93dfeb00f6e7fdb12a31c473f420f6f1135","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086605544","undefined"
"tuxcanfly","132667","https://github.com/tuxcanfly","0x2b501ff8501528da198df037fce9bfc0766af5d7bd12fa63c791cb2efe407ea9","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085466865","undefined"
"holiman","142290","https://github.com/holiman","0x0f76fc305cdcc10f313cc80893445a22d9ef7da13091ec89f75679947245873e","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1092464731","undefined"
"karlb","144773","https://github.com/karlb","0x151bba3a12ec7828d5542bcbb9eb52b606ac5cb16e85a8e8be3d848fd6ae1569","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1091229643","undefined"
"gnidan","151065","https://github.com/gnidan","0x0c76f0e5b23632c63e5f69bbbff51ae4426bbcee066b32d68fe38727e3ce49e1","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094104173","undefined"
"wanderer","158211","https://github.com/wanderer","0x15ee5afa3b8723ef1fb1753f769443285581d0c163bbeb4f2abb3c0ceada69f7","https://gist.github.com/b1b5a3756316a548a7a33b4a4d47d528","undefined"
"miguelmota","168240","https://github.com/miguelmota","0x003d96e8547dc4f3d5c75473cc719c78c6cd0f4459c543084d79d71a52adca3c","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085212001","undefined"
"zah","175462","https://github.com/zah","0x05556c26c5d722da32f57ca29a0f9f049525d2718961d1d875723795a6eb7ecf","https://gist.github.com/10c4e82355d04c62225eae0afc2038c0","undefined"
